group,matrix_count,source_or_meaning,normalized_kind_counts,dimension_min,dimension_max,size_profile,shape_counts,structure_counts,entry_type_counts,known_positive_definite,assessment,categorical_diversity_score,source_url
Bomhof,4,"Matrices from circuit simulation problems. Wim Bomhof, Univ. Utrecht.",circuit simulation problem (4),2624,80209,moderate (4–100×),square (4),unsymmetric (4),real (4),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Bomhof
Botonakis,6,"FEM thermal/mechanical problems from Ioannis Botonakis, Germany.",thermal problem (6),17880,204316,moderate (4–100×),square (6),symmetric (3); unsymmetric (3),real (6),3,high categorical mix; moderate (4–100×),0.25,https://sparse.tamu.edu/Botonakis
Bourchtein,4,Atmospheric modeling problems from Andrei Bourchtein,computational fluid dynamics problem (4),1270432,1489752,narrow (≤4×),square (4),unsymmetric (4),real (3); integer (1),0,small; observed mix; narrow (≤4×),0.041667,https://sparse.tamu.edu/Bourchtein
Bova,1,"Model of Charleston Harbor. Steve Bova, Nichols Research Corporation.",computational fluid dynamics problem (1),46835,46835,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Bova
Brethour,2,"Numerical simulation of coating flows, from Jim Brethour.",computational fluid dynamics problem (2),1348,9540,moderate (4–100×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Brethour
Brogan,1,"specular surface reconstruction problem, Submitted by Joel Brogan, Notre Dame, July 2014",computer vision problem (1),477976,477976,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Brogan
Brunetiere,1,A matrix from Noel Brunetiere. Finite-element discretization of thermal problem.,thermal problem (1),3456,3456,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Brunetiere
Buss,2,"Website recommendation system, Steven Buss, Univ. Florida",undirected bipartite graph (2),394792,872622,narrow (≤4×),rectangular (2),rectangular (2),binary (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Buss
Bydder,2,"MRI reconstruction matrices from Mark Bydder, UCSD.",computer graphics/vision problem (2),147456,147456,one dimension,rectangular (2),rectangular (2),real (2),0,small; uniform observed types; one dimension,0.0,https://sparse.tamu.edu/Bydder
CEMW,4,"Electromagnetic problems from D. Isaak, Computational_EM_Works",electromagnetics problem (4),93476,921632,moderate (4–100×),square (4),unsymmetric (3); symmetric (1),real (2); complex (1); integer (1),1,small; observed mix; moderate (4–100×),0.25,https://sparse.tamu.edu/CEMW
CPM,9,"Closest Point Method, Yujia Chen, Andy Wathen, Shengxin Zhu",2D/3D problem (9),148,40948,wide (>100×),square (9),unsymmetric (9),real (9),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/CPM
Cannizzo,1,Structural engineering matrix (finite-element) from Fabio Cannizzo.,structural problem (1),4098,4098,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/Cannizzo
Castrillon,1,"Counter-example matrix (denormal in A+alpha*I), J. Castrillon, Teledyne",counter-example problem (1),89400,89400,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/Castrillon
Chen,14,"Finite element matrices from Pu Chen, Peking University.",structural problem (14),10800,151926,moderate (4–100×),square (14),symmetric (14),binary (14),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/Chen
Chevron,4,"2D Helmholtz; Temporal freq. domain seismic modeling. J. Washbourne, Chevron",2D/3D problem (4),37365,711450,moderate (4–100×),square (4),unsymmetric (4),complex (4),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Chevron
Clark,1,"Tomographic reconstruction of a particle field in fluid flow, T. Clark",computer graphics/vision problem (1),73159,73159,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Clark
Cote,2,"Vibroacoustic matrices from Andre Cote, Univ. Sherbrooke, Quebec.",acoustics problem (2),5962,12328,narrow (≤4×),square (2),symmetric (2),complex (1); real (1),0,small; observed mix; narrow (≤4×),0.166667,https://sparse.tamu.edu/Cote
Cunningham,4,"Finite element matrices from Andrew Cunningham, Vibro-Acoustic Sciences, Inc.",acoustics problem (4),11107,66127,moderate (4–100×),square (4),symmetric (3); unsymmetric (1),real (4),1,small; observed mix; moderate (4–100×),0.125,https://sparse.tamu.edu/Cunningham
Cylshell,7,"Finite element analysis of cylindrical shells, R. Kouhia, Helsinki.",structural problem (7),5357,5489,narrow (≤4×),square (7),symmetric (7),real (7),7,categorically uniform; narrow (≤4×),0.0,https://sparse.tamu.edu/Cylshell
DIMACS10,151,10th DIMACS Implementation Challenge,undirected graph (67); undirected weighted graph (50); random unweighted graph (15); undirected random graph (10); undirected multigraph (6); random undirected graph (3),39,50912018,wide (>100×),square (151),symmetric (151),binary (95); integer (56),0,some categorical mix; wide (>100×),0.154525,https://sparse.tamu.edu/DIMACS10
DNVS,15,"Positive definite matrices from Christian Damhaug, DNV Software.",structural problem (15),18010,224617,moderate (4–100×),square (15),symmetric (15),real (8); binary (7),8,some categorical mix; moderate (4–100×),0.155556,https://sparse.tamu.edu/DNVS
DRIVCAV,26,"Driven cavity, finite element matrices from Yousef Saad (SPARSKIT2 collection).",computational fluid dynamics problem (26),317,4562,moderate (4–100×),square (26),unsymmetric (26),real (26),0,some categorical mix; moderate (4–100×),0.025641,https://sparse.tamu.edu/DRIVCAV
Dattorro,3,"Dattorro Convex Optimization of Eternity II, Jon Dattoro",optimization problem (3),150638,262144,narrow (≤4×),rectangular (3),rectangular (3),integer (3),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Dattorro
Davis,1,"Analysis of the MATLAB FileExchange, March 2010",term/document graph (1),9498,9498,one dimension,rectangular (1),rectangular (1),integer (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Davis
Dehghani,1,"Light transport in soft tissue, Hamid Dehghani, Univ. of Exeter, UK",electromagnetics problem (1),29282,29282,one dimension,square (1),unsymmetric (1),complex (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Dehghani
Dziekonski,5,High order vector finite element method in electromagnetics,electromagnetics problem (5),420408,1157456,narrow (≤4×),square (5),symmetric (5),real (3); complex (2),0,some categorical mix; narrow (≤4×),0.133333,https://sparse.tamu.edu/Dziekonski
Embree,1,"Fluid stability problem from IFISS package, Mark Embree, Virginia Tech",computational fluid dynamics (1),96307,96307,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Embree
Engwirda,1,Unstructured 2D mesh (an airfoil) from Darren Engwirda.,computational fluid dynamics problem (1),14214,14214,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Engwirda
FEMLAB,9,"Test matrices from FEMLAB, a finite-element method toolbox for MATLAB.",computational fluid dynamics problem (4); structural problem (3); 2D/3D problem (1); electromagnetics problem (1),367,85623,wide (>100×),square (9),unsymmetric (9),real (8); complex (1),0,high categorical mix; wide (>100×),0.185185,https://sparse.tamu.edu/FEMLAB
FIDAP,35,"Fluid dynamics, finite element matrices from Yousef Saad (SPARSKIT2 collection).",computational fluid dynamics problem (35),27,19716,wide (>100×),square (35),unsymmetric (22); symmetric (13),real (35),8,high categorical mix; wide (>100×),0.161905,https://sparse.tamu.edu/FIDAP
FlowIPM22,11,FlowIPM22: Laplacians from Newton-Steps of Maxflow Short-step IPM on Chimera Graphs,undirected weighted graph (11),100000,72180402,wide (>100×),square (11),symmetric (11),real (11),4,some categorical mix; wide (>100×),0.060606,https://sparse.tamu.edu/FlowIPM22
Fluorem,5,"CFD matrices from Francois Pacull, FLUOREM, in Lyon, France",computational fluid dynamics problem (5),903,2017169,wide (>100×),square (5),unsymmetric (5),real (5),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/Fluorem
FreeFieldTechnologies,1,"3D vibro-acoustic problem, aircraft engine nacelle, from M. Gontier",acoustics problem (1),169410,169410,one dimension,square (1),unsymmetric (1),complex (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/FreeFieldTechnologies
Freescale,8,"Circuit simulation matrices K. Gullapalli, Freescale Semiconductor",circuit simulation problem (7); circuit simulation matrix (1),178866,5558326,moderate (4–100×),square (8),unsymmetric (8),real (8),0,some categorical mix; moderate (4–100×),0.020833,https://sparse.tamu.edu/Freescale
GAP,5,"GAP Benchmark matrices: Scott Beamer, Krste Asanovic', and David Patterson.",directed weighted graph (3); random undirected weighted graph (2),23947347,134217728,moderate (4–100×),square (5),symmetric (3); unsymmetric (2),integer (5),0,high categorical mix; moderate (4–100×),0.2,https://sparse.tamu.edu/GAP
GHS_indef,60,"Indefinite matrices collected by Nick Gould, Yifan Hu, and Jennifer Scott.",optimization problem (30); 2D/3D problem (17); computational fluid dynamics problem (4); materials problem (4); structural problem (3); statistical/mathematical problem (2),3002,466316,wide (>100×),square (60),symmetric (60),real (57); integer (3),1,some categorical mix; wide (>100×),0.097222,https://sparse.tamu.edu/GHS_indef
GHS_psdef,32,"Positive definite matrices collected by Nick Gould, Yifan Hu, & Jennifer Scott.",structural problem (19); optimization problem (8); computational fluid dynamics problem (3); random 2D/3D problem (2),15449,952203,moderate (4–100×),square (32),symmetric (32),real (22); binary (10),22,high categorical mix; moderate (4–100×),0.177083,https://sparse.tamu.edu/GHS_psdef
Gaertner,3,"Matrices from Dr. Klaus Gaertner, Weierstrass Institute Berlin.",directed weighted graph (2); undirected weighted graph (1),10774,13209,narrow (≤4×),square (3),unsymmetric (2); symmetric (1),integer (3),0,small; observed mix; narrow (≤4×),0.166667,https://sparse.tamu.edu/Gaertner
Garon,2,"Matrices from Andre Garon, Univ. of Montreal. 2D Navier-Stokes.",computational fluid dynamics problem (2),3175,13535,moderate (4–100×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Garon
GenBank,5,Protein k-mer graphs generated using data from GenBank,undirected graph (5),55042369,214005017,narrow (≤4×),square (5),symmetric (5),binary (5),0,categorically uniform; narrow (≤4×),0.0,https://sparse.tamu.edu/GenBank
Gleich,10,"Web matrices and wikipedia matrices from David Gleich, Stanford.",directed graph (7); undirected graph (3),2642,9845725,wide (>100×),square (10),unsymmetric (7); symmetric (3),binary (10),0,high categorical mix; wide (>100×),0.15,https://sparse.tamu.edu/Gleich
Goodwin,12,Fluid mechanics matrices from Ralph Goodwin,computational fluid dynamics (10); computational fluid dynamics problem (2),1182,178437,wide (>100×),square (12),unsymmetric (12),real (12),0,some categorical mix; wide (>100×),0.027778,https://sparse.tamu.edu/Goodwin
Graham,1,"Finite element matrix from Dave Graham, Univ. of Illinois.",computational fluid dynamics problem (1),9035,9035,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Graham
Grueninger,2,"Wind tunnel evaporation, Christoph Grueninger, Univ. Stuttgart",computational fluid dynamics problem (2),8256,40816,moderate (4–100×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Grueninger
Grund,22,"Matrices from Friedrich Grund, WIAS Berlin. Chemical process simulation.",chemical process simulation problem (16); economic problem (4); circuit simulation problem (2),7,57735,wide (>100×),square (22),unsymmetric (21); symmetric (1),real (22),0,some categorical mix; wide (>100×),0.068182,https://sparse.tamu.edu/Grund
Gset,67,"Random graphs from Yinyu Ye, Univ. of Iowa.",undirected random graph (34); undirected weighted random graph (33),800,10000,moderate (4–100×),square (67),symmetric (67),binary (34); integer (33),0,some categorical mix; moderate (4–100×),0.166667,https://sparse.tamu.edu/Gset
Guettel,3,"3D Transient Electromagnetic Modelleing, Stefan Guettel, Univ Manchester",electromagnetics problem (3),27623,181302,moderate (4–100×),square (3),symmetric (3),real (3),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Guettel
Gupta,3,"Linear programming matrices from Anshul Gupta, IBM T. J. Watson Research Center.",optimization problem (3),16783,62064,narrow (≤4×),square (3),symmetric (3),binary (3),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Gupta
HB,292,"The original Harwell-Boeing collection. Iain Duff, Roger Grimes, and John Lewis.",structural problem (121); 2D/3D problem (36); computational fluid dynamics problem (27); power network problem (18); optimization problem (17); chemical process simulation problem (16); economic problem (14); thermal problem (12); least squares problem (11); directed weighted graph (8); acoustics problem (4); counter-example problem (3); semiconductor device problem (2); directed graph (1); materials problem (1); statistical/mathematical problem (1),9,44609,wide (>100×),square (276); rectangular (16),symmetric (169); unsymmetric (105); rectangular (16); skew-symmetric (2),real (170); binary (112); integer (7); complex (3),60,high categorical mix; wide (>100×),0.352169,https://sparse.tamu.edu/HB
HVDC,2,"Power simulation matrices from Alex Wang, Manitoba HVDC, Canada.",power network problem (2),24842,189860,moderate (4–100×),square (2),unsymmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/HVDC
Hamm,6,"Semiconductor simulation matrices from Steve Hamm, Motorola, Inc.",circuit simulation problem (6),2395,170998,moderate (4–100×),square (6),unsymmetric (6),real (6),0,some categorical mix; moderate (4–100×),0.055556,https://sparse.tamu.edu/Hamm
Hamrle,3,"Circuit simulation matrices from Jaroslav Hamrle, RIKEN, Japan.",circuit simulation problem (3),32,1447360,wide (>100×),square (3),unsymmetric (3),real (3),0,small; uniform observed types; wide (>100×),0.0,https://sparse.tamu.edu/Hamrle
Hardesty,3,"Surface fitting problem for visualization, Sean Hardesty",computer graphics/vision problem (3),929901,8217820,moderate (4–100×),rectangular (2); square (1),rectangular (2); symmetric (1),real (2); integer (1),0,small; observed mix; moderate (4–100×),0.222222,https://sparse.tamu.edu/Hardesty
Harvard_Seismology,1,"Earth's crust underneath Japan, Harvard Seismology Group.",tomography problem (1),87616,87616,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Harvard_Seismology
Hohn,6,"Single-material crack problem, Michael Hohn, Univ. of Utah.",materials problem (6),7500,16428,narrow (≤4×),square (6),unsymmetric (6),real (6),0,some categorical mix; narrow (≤4×),0.027778,https://sparse.tamu.edu/Hohn
Hollinger,49,"Economic models from Peter Holinger, Intex Solutions, Inc.",economic problem (49),2880,64089,moderate (4–100×),square (49),unsymmetric (49),real (49),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/Hollinger
IBM_Austin,1,"Circuit simulation matrix from Emrah Acar, IBM Austin. High degree of coupling.",circuit simulation problem (1),11341,11341,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/IBM_Austin
IBM_EDA,7,"Circuit simulation matrices from Tim Lehner, IBM EDA.",circuit simulation problem (7),49702,116835,narrow (≤4×),square (7),unsymmetric (7),real (7),0,some categorical mix; narrow (≤4×),0.095238,https://sparse.tamu.edu/IBM_EDA
INPRO,1,"Parasol matrices, collected by Jacko Koster",structural problem (1),415863,415863,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/INPRO
IPSO,7,"Power simulation matrices, Li Peijie, Inst. of Power Systems, Guangxi Univ.",power network problem (7),8140,226340,moderate (4–100×),square (7),symmetric (7),real (7),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/IPSO
JGD_BIBD,21,"Balanced Incomplete Block Design from Mark Giesbrecht, Univ. of Waterloo",combinatorial problem (21),84,319770,wide (>100×),rectangular (20); square (1),rectangular (20); symmetric (1),binary (21),1,categorically uniform; wide (>100×),0.031746,https://sparse.tamu.edu/JGD_BIBD
JGD_CAG,3,"CAG matrix set from Michael Monagan, Simon Fraser Univ., Canada",combinatorial problem (3),72,1916,moderate (4–100×),square (3),unsymmetric (3),integer (3),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/JGD_CAG
JGD_Forest,10,Forests and Trees from Nicolas Thiery,combinatorial problem (10),107,317955,wide (>100×),rectangular (10),rectangular (10),integer (10),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/JGD_Forest
JGD_Franz,11,"Cohomology of various rings, from Matthias Franz, Univ. Konstanz, Germany",combinatorial problem (11),2240,47104,moderate (4–100×),rectangular (11),rectangular (11),integer (11),0,categorically uniform; moderate (4–100×),0.0,https://sparse.tamu.edu/JGD_Franz
JGD_G5,13,"Decomposable subspaces at degree d of the invariant ring of G5, Nicolas Thiery.",combinatorial problem (13),77,47894,wide (>100×),rectangular (13),rectangular (13),integer (13),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/JGD_G5
JGD_GL6,5,"Differentials of the Voronoi complex of perfect forms of rank 6 mod GL_6(Z), from Philippe Elbaz-Vincent, Institut Fourier,…",combinatorial problem (5),341,637,narrow (≤4×),rectangular (5),rectangular (5),integer (5),0,categorically uniform; narrow (≤4×),0.0,https://sparse.tamu.edu/JGD_GL6
JGD_GL7d,17,Differentials of the Voronoi complex of perfect forms of rank 7 mod GL_7(Z),combinatorial problem (17),60,1955309,wide (>100×),rectangular (17),rectangular (17),integer (17),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/JGD_GL7d
JGD_Groebner,8,"Gro""bner basis from Jean-Charles Fauge`res, From Jean-Guillaume Dumas' Sparse Integer Matrix Collection,",combinatorial problem (8),404,5761,moderate (4–100×),rectangular (8),rectangular (8),integer (7); binary (1),0,some categorical mix; moderate (4–100×),0.020833,https://sparse.tamu.edu/JGD_Groebner
JGD_Homology,128,Simplicial complexes from Homology from Volkmar Welker.,combinatorial problem (128),15,564480,wide (>100×),rectangular (122); square (6),rectangular (122); unsymmetric (6),integer (128),0,categorically uniform; wide (>100×),0.023438,https://sparse.tamu.edu/JGD_Homology
JGD_Kocay,12,"Brute force disjoint product matrices in tree algebra on n nodes, Nicolas Thiery",combinatorial problem (12),2,15905,wide (>100×),rectangular (12),rectangular (12),integer (11); binary (1),0,categorically uniform; wide (>100×),0.013889,https://sparse.tamu.edu/JGD_Kocay
JGD_Margulies,23,"Combinatorial optimization as polynomial eqns, Susan Margulies, UC Davis",combinatorial problem (23),25,902103,wide (>100×),rectangular (22); square (1),rectangular (22); unsymmetric (1),binary (23),0,categorically uniform; wide (>100×),0.021739,https://sparse.tamu.edu/JGD_Margulies
JGD_Relat,15,"Relations from Florent Hiver, Univ. Paris-Est Marne-La-Valle'e",combinatorial problem (15),12,12360060,wide (>100×),rectangular (15),rectangular (15),integer (15),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/JGD_Relat
JGD_SL6,7,Differentials of the Voronoi complex of perfect forms,combinatorial problem (7),434,1271,narrow (≤4×),rectangular (7),rectangular (7),integer (7),0,categorically uniform; narrow (≤4×),0.0,https://sparse.tamu.edu/JGD_SL6
JGD_SPG,7,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",combinatorial problem (7),300,6545,moderate (4–100×),square (7),symmetric (6); unsymmetric (1),binary (6); integer (1),0,high categorical mix; moderate (4–100×),0.071429,https://sparse.tamu.edu/JGD_SPG
JGD_Taha,2,"Taha matrix set from Abdul Salam Jarrah, New Mexico State Univ.",combinatorial problem (2),14596,37932,narrow (≤4×),rectangular (2),rectangular (2),integer (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/JGD_Taha
JGD_Trefethen,11,"Diagonal matrices with primes, Nick Trefethen, Oxford Univ.",combinatorial problem (11),19,20000,wide (>100×),square (11),symmetric (11),integer (11),11,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/JGD_Trefethen
Janna,18,Finite element simulations: gas reservoir and structural problems. Univ Padova.,structural problem (14); 2D/3D problem (3); computational fluid dynamics problem (1),377002,4147110,moderate (4–100×),square (18),symmetric (14); unsymmetric (4),real (18),10,high categorical mix; moderate (4–100×),0.185185,https://sparse.tamu.edu/Janna
Kamvar,2,"Web matrices from Sep Kamvar, Stanford University.",directed graph (2),281903,683446,narrow (≤4×),square (2),unsymmetric (2),binary (2),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Kamvar
Kemelmacher,1,"Computer vision problem from Ira Kemelmacher, Weizmann Inst., Israel.",computer graphics/vision problem (1),28452,28452,one dimension,rectangular (1),rectangular (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Kemelmacher
Kim,2,"2D complex meshes, from Wonsik Kim, Korea.",2D/3D problem (2),38415,456976,moderate (4–100×),square (2),unsymmetric (2),complex (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Kim
Koutsovasilis,2,"Symmetric indefinite matrix from P. Koutsovasilis, Tech. Univ. Dresden",structural problem (2),71505,343791,moderate (4–100×),square (2),symmetric (2),real (2),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Koutsovasilis
LAW,15,"Laboratory for Web Algorithmics (LAW), Università degli Studi di Milano",directed graph (13); undirected graph (2),69244,118142155,wide (>100×),square (15),unsymmetric (13); symmetric (2),binary (15),0,high categorical mix; wide (>100×),0.066667,https://sparse.tamu.edu/LAW
LPnetlib,138,"NETLIB Linear Programming problems, www.netlib.org.",linear programming problem (138),13,243246,wide (>100×),rectangular (138),rectangular (138),real (108); integer (30),0,some categorical mix; wide (>100×),0.036232,https://sparse.tamu.edu/LPnetlib
Langemyr,1,"FEM structural mechanics matrix from Lars Langemyr, COMSOL.",structural problem (1),1500,1500,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Langemyr
LeGresley,3,Power flow analyses of electrical grids.,power network problem (3),2508,87936,moderate (4–100×),square (3),unsymmetric (3),real (3),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/LeGresley
Lee,2,"FEM, Electromagnetics, Center for Computational Electromagnetics, UIUC",electromagnetics problem (2),74062,491100,moderate (4–100×),square (2),unsymmetric (2),complex (2),0,small; observed mix; moderate (4–100×),0.083333,https://sparse.tamu.edu/Lee
Li,2,"3D magnetohydrodynamics finite element matrix from Ben Li, Washington State Univ.",electromagnetics problem (2),22695,22695,one dimension,square (2),symmetric (1); unsymmetric (1),binary (1); real (1),0,small; observed mix; one dimension,0.333333,https://sparse.tamu.edu/Li
Lin,1,"Large sparse eigenvalue problem from Chun-hung (Martin) Lin. NCHC, Taiwan.",structural problem (1),256000,256000,one dimension,square (1),symmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Lin
LiuWenzhuo,1,"Power system simulation matrix from Wenzhou Liu, EPRI, China.",power network problem (1),15838,15838,one dimension,square (1),unsymmetric (1),real (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/LiuWenzhuo
Lourakis,1,"3D vision matrices, M. Lourakis, Foundation for Research & Technology - Hellas.",computer graphics/vision problem (1),10581,10581,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/Lourakis
