group,matrix_count,diversity_label,categorical_diversity_score,mixed_attribute_count_dominant_share_lt_0_90,distinct_kinds,dimension_log10_span,nnz_log10_span,nentries_log10_span,matrices_with_explicit_zeros,explicit_zero_count_total,nrows_min,nrows_median,nrows_max,ncols_min,ncols_median,ncols_max,nnz_min,nnz_median,nnz_max,nentries_min,nentries_median,nentries_max,pattern_symmetry_min,pattern_symmetry_median,pattern_symmetry_max,numerical_symmetry_min,numerical_symmetry_median,numerical_symmetry_max,shape_counts,dominant_shape,dominant_shape_share,structure_counts,dominant_structure,dominant_structure_share,entry_type_counts,dominant_entry_type,dominant_entry_type_share,exact_symmetry_counts,dominant_exact_symmetry,dominant_exact_symmetry_share,positive_definite_counts,dominant_positive_definite,dominant_positive_definite_share,kind_counts,dominant_kind,dominant_kind_share,structural_full_rank_counts,dominant_structural_full_rank,dominant_structural_full_rank_share,is_2d3d_counts,dominant_is_2d3d,dominant_is_2d3d_share,cholesky_candidate_counts,dominant_cholesky_candidate,dominant_cholesky_candidate_share,size_band_counts,dominant_size_band,dominant_size_band_share,smallest_nrows_matrices,largest_nrows_matrices,smallest_ncols_matrices,largest_ncols_matrices,smallest_nnz_matrices,largest_nnz_matrices,smallest_nentries_matrices,largest_nentries_matrices
Bai,78,categorically_heterogeneous,0.245726,4,10,2.579784,3.131892,3.151049,1,23658,62,961,23560,62,961,23560,342,4681,463360,342,4681,484256,0.07485627126598615,0.9987279276556085,1.0,0.0,0.34047621421787244,1.0,square:78,square,1.0,Hermitian:1; symmetric:11; unsymmetric:66,unsymmetric,0.846154,complex:6; integer:2; real:70,real,0.897436,exact_numerical_or_hermitian:8; partially_pattern_symmetric:39; pattern_symmetric_only:31,partially_pattern_symmetric,0.5,no:74; yes:4,no,0.948718,2D/3D problem:8; chemical process simulation problem:2; computational fluid dynamics problem:25; computational fluid dynamics problem sequence:1; electromagnetics problem:26; materials problem:2; power network problem:3; robotics problem:2; statistical/mathematical problem:4; subsequent computational fluid dynamics problem:5,electromagnetics problem,0.333333,false:2; true:76,true,0.974359,no:9; yes:69,yes,0.884615,no:74; yes:4,no,0.948718,10k_to_100k:2; 1k_to_10k:29; lt_1k:47,lt_1k,0.602564,Bai/bfwa62=62; Bai/bfwb62=62,Bai/af23560=23560,Bai/bfwa62=62; Bai/bfwb62=62,Bai/af23560=23560,Bai/bfwb62=342,Bai/qc2534=463360,Bai/bfwb62=342,Bai/af23560=484256
Barabasi,3,small_group_lt5,0.388889,4,3,2.268624,2.516159,2.516159,0,0,2114,325729,392400,2114,127823,325729,4480,929849,1470404,4480,929849,1470404,0.0,0.3315875213545298,1.0,0.0,0.3315875213545298,1.0,rectangular:1; square:2,square,0.666667,rectangular:1; symmetric:1; unsymmetric:1,rectangular,0.333333,binary:3,binary,1.0,exact_numerical_or_hermitian:1; partially_pattern_symmetric:1; rectangular:1,exact_numerical_or_hermitian,0.333333,no:3,no,1.0,bipartite graph:1; directed graph:1; undirected graph:1,bipartite graph,0.333333,false:1; missing:2,missing,0.666667,no:3,no,1.0,no:3,no,1.0,100k_to_1m:2; 1k_to_10k:1,100k_to_1m,0.666667,Barabasi/NotreDame_yeast=2114,Barabasi/NotreDame_actors=392400,Barabasi/NotreDame_yeast=2114,Barabasi/NotreDame_www=325729,Barabasi/NotreDame_yeast=4480,Barabasi/NotreDame_actors=1470404,Barabasi/NotreDame_yeast=4480,Barabasi/NotreDame_actors=1470404
Bates,3,small_group_lt5,0.333333,6,2,2.837567,2.965847,2.965847,0,0,2541,2541,1748122,2541,31022,62729,7361,62044,6804304,7361,62044,6804304,0.0,0,1.0,0.0,0,1.0,rectangular:2; square:1,rectangular,0.666667,rectangular:2; symmetric:1,rectangular,0.666667,binary:1; real:2,real,0.666667,exact_numerical_or_hermitian:1; rectangular:2,rectangular,0.666667,no:2; yes:1,no,0.666667,least squares problem:1; statistical/mathematical problem:2,statistical/mathematical problem,0.666667,true:3,true,1.0,no:3,no,1.0,no:2; yes:1,no,0.666667,10k_to_100k:1; 1k_to_10k:1; ge_1m:1,10k_to_100k,0.333333,Bates/Chem97Zt=2541; Bates/Chem97ZtZ=2541,Bates/sls=1748122,Bates/Chem97ZtZ=2541,Bates/sls=62729,Bates/Chem97ZtZ=7361,Bates/sls=6804304,Bates/Chem97ZtZ=7361,Bates/sls=6804304
Belcastro,3,small_group_lt5,0.0,0,1,0.497637,0.204988,0.204988,0,0,14340,22283,45101,14340,22283,45101,18068388,24669643,28967291,18068388,24669643,28967291,1.0,1,1.0,1.0,1,1.0,square:3,square,1.0,symmetric:3,symmetric,1.0,real:3,real,1.0,exact_numerical_or_hermitian:3,exact_numerical_or_hermitian,1.0,no:3,no,1.0,undirected weighted graph:3,undirected weighted graph,1.0,missing:3,missing,1.0,no:3,no,1.0,yes:3,yes,1.0,10k_to_100k:3,10k_to_100k,1.0,Belcastro/human_gene2=14340,Belcastro/mouse_gene=45101,Belcastro/human_gene2=14340,Belcastro/mouse_gene=45101,Belcastro/human_gene2=18068388,Belcastro/mouse_gene=28967291,Belcastro/human_gene2=18068388,Belcastro/mouse_gene=28967291
BenElechi,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,245874,245874,245874,245874,245874,245874,13150496,13150496,13150496,13150496,13150496,13150496,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,real:1,real,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,yes:1,yes,1.0,2D/3D problem:1,2D/3D problem,1.0,true:1,true,1.0,yes:1,yes,1.0,yes:1,yes,1.0,100k_to_1m:1,100k_to_1m,1.0,BenElechi/BenElechi1=245874,BenElechi/BenElechi1=245874,BenElechi/BenElechi1=245874,BenElechi/BenElechi1=245874,BenElechi/BenElechi1=13150496,BenElechi/BenElechi1=13150496,BenElechi/BenElechi1=13150496,BenElechi/BenElechi1=13150496
Bindel,6,categorically_heterogeneous,0.222222,4,1,0.0,0.557887,0.557887,0,0,10605,10605,10605,10605,10605,10605,144579,424587,522387,144579,424587,522387,0.5657922767749357,0.6415700434950818,1.0,0.0,0.1057079149564699,1.0,square:6,square,1.0,symmetric:2; unsymmetric:4,unsymmetric,0.666667,complex:2; real:4,real,0.666667,exact_numerical_or_hermitian:2; partially_pattern_symmetric:4,partially_pattern_symmetric,0.666667,no:4; yes:2,no,0.666667,thermal problem:6,thermal problem,1.0,true:6,true,1.0,yes:6,yes,1.0,no:4; yes:2,no,0.666667,10k_to_100k:6,10k_to_100k,1.0,Bindel/ted_A=10605; Bindel/ted_B=10605; Bindel/ted_AB=10605; Bindel/ted_A_unscaled=10605; Bindel/ted_B_unscaled=10605; Bindel/ted_AB_unscaled=10605,Bindel/ted_A=10605; Bindel/ted_B=10605; Bindel/ted_AB=10605; Bindel/ted_A_unscaled=10605; Bindel/ted_B_unscaled=10605; Bindel/ted_AB_unscaled=10605,Bindel/ted_A=10605; Bindel/ted_B=10605; Bindel/ted_AB=10605; Bindel/ted_A_unscaled=10605; Bindel/ted_B_unscaled=10605; Bindel/ted_AB_unscaled=10605,Bindel/ted_A=10605; Bindel/ted_B=10605; Bindel/ted_AB=10605; Bindel/ted_A_unscaled=10605; Bindel/ted_B_unscaled=10605; Bindel/ted_AB_unscaled=10605,Bindel/ted_B=144579; Bindel/ted_B_unscaled=144579,Bindel/ted_AB=522387; Bindel/ted_AB_unscaled=522387,Bindel/ted_B=144579; Bindel/ted_B_unscaled=144579,Bindel/ted_AB=522387; Bindel/ted_AB_unscaled=522387
Bodendiek,5,homogeneous,0.0,0,1,2.332014,2.369111,2.369111,0,0,11083,806529,2380515,11083,806529,2380515,113343,8921789,26515867,113343,8921789,26515867,1.0,1,1.0,1.0,1,1.0,square:5,square,1.0,symmetric:5,symmetric,1.0,real:5,real,1.0,exact_numerical_or_hermitian:5,exact_numerical_or_hermitian,1.0,no:5,no,1.0,model reduction problem:5,model reduction problem,1.0,true:5,true,1.0,yes:5,yes,1.0,yes:5,yes,1.0,100k_to_1m:2; 10k_to_100k:1; ge_1m:2,100k_to_1m,0.4,Bodendiek/CurlCurl_0=11083,Bodendiek/CurlCurl_4=2380515,Bodendiek/CurlCurl_0=11083,Bodendiek/CurlCurl_4=2380515,Bodendiek/CurlCurl_0=113343,Bodendiek/CurlCurl_4=26515867,Bodendiek/CurlCurl_0=113343,Bodendiek/CurlCurl_4=26515867
Boeing,32,categorically_heterogeneous,0.161458,3,4,2.568916,3.041051,3.045176,7,253152,588,13965,217918,588,13965,217918,10485,321755.5,11524432,10485,321755.5,11634424,1.0,1,1.0,1.0,1,1.0,square:32,square,1.0,symmetric:32,symmetric,1.0,binary:5; real:27,real,0.84375,exact_numerical_or_hermitian:32,exact_numerical_or_hermitian,1.0,no:17; yes:15,no,0.53125,duplicate materials problem:2; duplicate structural problem:3; materials problem:6; structural problem:21,structural problem,0.65625,false:4; true:28,true,0.875,yes:32,yes,1.0,no:5; yes:27,yes,0.84375,100k_to_1m:1; 10k_to_100k:18; 1k_to_10k:10; lt_1k:3,10k_to_100k,0.5625,Boeing/bcsstk34=588; Boeing/bcsstm34=588,Boeing/pwtk=217918,Boeing/bcsstk34=588; Boeing/bcsstm34=588,Boeing/pwtk=217918,Boeing/bcsstm38=10485,Boeing/pwtk=11524432,Boeing/bcsstm38=10485,Boeing/pwtk=11634424
Bomhof,4,small_group_lt5,0.0,0,1,1.485259,1.161677,1.161677,0,0,2624,8318.5,80209,2624,8318.5,80209,21199,41980,307604,21199,41980,307604,0.7700717835450027,0.8178832654145156,0.999548641410646,0.2060602413263924,0.33182782865785215,0.4152593124925141,square:4,square,1.0,unsymmetric:4,unsymmetric,1.0,real:4,real,1.0,partially_pattern_symmetric:4,partially_pattern_symmetric,1.0,no:4,no,1.0,circuit simulation problem:4,circuit simulation problem,1.0,true:4,true,1.0,no:4,no,1.0,no:4,no,1.0,10k_to_100k:2; 1k_to_10k:2,10k_to_100k,0.5,Bomhof/circuit_1=2624,Bomhof/circuit_4=80209,Bomhof/circuit_1=2624,Bomhof/circuit_4=80209,Bomhof/circuit_2=21199,Bomhof/circuit_4=307604,Bomhof/circuit_2=21199,Bomhof/circuit_4=307604
Botonakis,6,categorically_heterogeneous,0.25,3,1,1.057935,0.908523,0.908523,0,0,17880,125029,204316,17880,125029,204316,430740,1067337,3489300,430740,1067337,3489300,1.0,1,1.0,0.6652727267221619,0.9753669524778374,1.0,square:6,square,1.0,symmetric:3; unsymmetric:3,symmetric,0.5,real:6,real,1.0,exact_numerical_or_hermitian:3; pattern_symmetric_only:3,exact_numerical_or_hermitian,0.5,no:3; yes:3,no,0.5,thermal problem:6,thermal problem,1.0,true:6,true,1.0,yes:6,yes,1.0,no:3; yes:3,no,0.5,100k_to_1m:5; 10k_to_100k:1,100k_to_1m,0.833333,Botonakis/FEM_3D_thermal1=17880,Botonakis/thermomech_dM=204316; Botonakis/thermomech_dK=204316,Botonakis/FEM_3D_thermal1=17880,Botonakis/thermomech_dM=204316; Botonakis/thermomech_dK=204316,Botonakis/FEM_3D_thermal1=430740,Botonakis/FEM_3D_thermal2=3489300,Botonakis/FEM_3D_thermal1=430740,Botonakis/FEM_3D_thermal2=3489300
Bourchtein,4,small_group_lt5,0.041667,1,1,0.069163,0.068453,0.068453,0,0,1270432,1380092,1489752,1270432,1380092,1489752,8814880,9567320,10319760,8814880,9567320,10319760,1.0,1,1.0,0.6690207156308852,0.6702355349613749,0.6714503542918647,square:4,square,1.0,unsymmetric:4,unsymmetric,1.0,integer:1; real:3,real,0.75,pattern_symmetric_only:4,pattern_symmetric_only,1.0,no:4,no,1.0,computational fluid dynamics problem:4,computational fluid dynamics problem,1.0,true:4,true,1.0,yes:4,yes,1.0,no:4,no,1.0,ge_1m:4,ge_1m,1.0,Bourchtein/atmosmodd=1270432; Bourchtein/atmosmodj=1270432,Bourchtein/atmosmodl=1489752; Bourchtein/atmosmodm=1489752,Bourchtein/atmosmodd=1270432; Bourchtein/atmosmodj=1270432,Bourchtein/atmosmodl=1489752; Bourchtein/atmosmodm=1489752,Bourchtein/atmosmodd=8814880; Bourchtein/atmosmodj=8814880,Bourchtein/atmosmodl=10319760; Bourchtein/atmosmodm=10319760,Bourchtein/atmosmodd=8814880; Bourchtein/atmosmodj=8814880,Bourchtein/atmosmodl=10319760; Bourchtein/atmosmodm=10319760
Bova,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,1,44909,46835,46835,46835,46835,46835,46835,2329092,2329092,2329092,2374001,2374001,2374001,1.0,1,1.0,0.2355549300354827,0.2355549300354827,0.2355549300354827,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,real:1,real,1.0,pattern_symmetric_only:1,pattern_symmetric_only,1.0,no:1,no,1.0,computational fluid dynamics problem:1,computational fluid dynamics problem,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,10k_to_100k:1,10k_to_100k,1.0,Bova/rma10=46835,Bova/rma10=46835,Bova/rma10=46835,Bova/rma10=46835,Bova/rma10=2329092,Bova/rma10=2329092,Bova/rma10=2374001,Bova/rma10=2374001
Brethour,2,small_group_lt5,0.0,0,1,0.849858,1.02754,1.02754,0,0,1348,5444,9540,1348,5444,9540,19457,113382.5,207308,19457,113382.5,207308,0.5922916666666667,0.5932400701235618,0.5941884735804569,0.1280874338061923,0.2615437169030962,0.395,square:2,square,1.0,unsymmetric:2,unsymmetric,1.0,real:2,real,1.0,partially_pattern_symmetric:2,partially_pattern_symmetric,1.0,no:2,no,1.0,computational fluid dynamics problem:2,computational fluid dynamics problem,1.0,false:2,false,1.0,yes:2,yes,1.0,no:2,no,1.0,1k_to_10k:2,1k_to_10k,1.0,Brethour/coater1=1348,Brethour/coater2=9540,Brethour/coater1=1348,Brethour/coater2=9540,Brethour/coater1=19457,Brethour/coater2=207308,Brethour/coater1=19457,Brethour/coater2=207308
Brogan,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,1,576,477976,477976,477976,1600,1600,1600,7647040,7647040,7647040,7647616,7647616,7647616,0.0,0,0.0,0.0,0,0.0,rectangular:1,rectangular,1.0,rectangular:1,rectangular,1.0,real:1,real,1.0,rectangular:1,rectangular,1.0,no:1,no,1.0,computer vision problem:1,computer vision problem,1.0,false:1,false,1.0,yes:1,yes,1.0,no:1,no,1.0,100k_to_1m:1,100k_to_1m,1.0,Brogan/specular=477976,Brogan/specular=477976,Brogan/specular=1600,Brogan/specular=1600,Brogan/specular=7647040,Brogan/specular=7647040,Brogan/specular=7647616,Brogan/specular=7647616
Brunetiere,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,3456,3456,3456,3456,3456,3456,66528,66528,66528,66528,66528,66528,1.0,1,1.0,0.0730593607305936,0.0730593607305936,0.0730593607305936,square:1,square,1.0,unsymmetric:1,unsymmetric,1.0,real:1,real,1.0,pattern_symmetric_only:1,pattern_symmetric_only,1.0,no:1,no,1.0,thermal problem:1,thermal problem,1.0,true:1,true,1.0,yes:1,yes,1.0,no:1,no,1.0,1k_to_10k:1,1k_to_10k,1.0,Brunetiere/thermal=3456,Brunetiere/thermal=3456,Brunetiere/thermal=3456,Brunetiere/thermal=3456,Brunetiere/thermal=66528,Brunetiere/thermal=66528,Brunetiere/thermal=66528,Brunetiere/thermal=66528
Buss,2,small_group_lt5,0.0,0,1,0.344458,1.302457,1.302457,0,0,512,6491.5,12471,394792,633707,872622,1127525,11876126,22624727,1127525,11876126,22624727,0.0,0,0.0,0.0,0,0.0,rectangular:2,rectangular,1.0,rectangular:2,rectangular,1.0,binary:2,binary,1.0,rectangular:2,rectangular,1.0,no:2,no,1.0,undirected bipartite graph:2,undirected bipartite graph,1.0,false:2,false,1.0,no:2,no,1.0,no:2,no,1.0,100k_to_1m:2,100k_to_1m,1.0,Buss/connectus=512,Buss/12month1=12471,Buss/connectus=394792,Buss/12month1=872622,Buss/connectus=1127525,Buss/12month1=22624727,Buss/connectus=1127525,Buss/12month1=22624727
Bydder,2,small_group_lt5,0.0,0,1,0.0,0.015488,0.015488,0,0,63240,64388,65536,147456,147456,147456,569160,579492,589824,569160,579492,589824,0.0,0,0.0,0.0,0,0.0,rectangular:2,rectangular,1.0,rectangular:2,rectangular,1.0,real:2,real,1.0,rectangular:2,rectangular,1.0,no:2,no,1.0,computer graphics/vision problem:2,computer graphics/vision problem,1.0,false:2,false,1.0,yes:2,yes,1.0,no:2,no,1.0,100k_to_1m:2,100k_to_1m,1.0,Bydder/mri2=63240,Bydder/mri1=65536,Bydder/mri1=147456; Bydder/mri2=147456,Bydder/mri1=147456; Bydder/mri2=147456,Bydder/mri2=569160,Bydder/mri1=589824,Bydder/mri2=569160,Bydder/mri1=589824
CEMW,4,small_group_lt5,0.25,4,1,0.993857,0.549204,0.549204,0,0,93476,822269,921632,93476,822269,921632,1434636,4587816.5,5080961,1434636,4587816.5,5080961,0.9988182710127548,1,1.0,0.0,0.9098903607144062,1.0,square:4,square,1.0,symmetric:1; unsymmetric:3,unsymmetric,0.75,complex:1; integer:1; real:2,real,0.5,exact_numerical_or_hermitian:1; partially_pattern_symmetric:1; pattern_symmetric_only:2,pattern_symmetric_only,0.5,no:3; yes:1,no,0.75,electromagnetics problem:4,electromagnetics problem,1.0,true:4,true,1.0,yes:4,yes,1.0,no:3; yes:1,no,0.75,100k_to_1m:3; 10k_to_100k:1,100k_to_1m,0.75,CEMW/vfem=93476,CEMW/t2em=921632,CEMW/vfem=93476,CEMW/t2em=921632,CEMW/vfem=1434636,CEMW/tmt_sym=5080961,CEMW/vfem=1434636,CEMW/tmt_sym=5080961
CPM,9,homogeneous,0.0,0,1,2.441971,2.431214,2.431214,0,0,148,2548,40948,148,2548,40948,1527,25674,412148,1527,25674,412148,0.4263959390862944,0.4349030172413793,0.441413081497027,0.2219902574808629,0.2349736227622589,0.2377052713245119,square:9,square,1.0,unsymmetric:9,unsymmetric,1.0,real:9,real,1.0,partially_pattern_symmetric:9,partially_pattern_symmetric,1.0,no:9,no,1.0,2D/3D problem:9,2D/3D problem,1.0,true:9,true,1.0,yes:9,yes,1.0,no:9,no,1.0,10k_to_100k:3; 1k_to_10k:3; lt_1k:3,10k_to_100k,0.333333,CPM/cz148=148,CPM/cz40948=40948,CPM/cz148=148,CPM/cz40948=40948,CPM/cz148=1527,CPM/cz40948=412148,CPM/cz148=1527,CPM/cz40948=412148
