metric,rank,id,matrix,value,nrows,ncols,nnz,nentries,structure,entry_type,kind
nnz,14,2775,Mycielski/mycielskian19,903194710,393215,393215,903194710,903194710,symmetric,binary,undirected graph
nnz,15,1905,Schenk/nlpkkt240,760648352,27993600,27993600,760648352,774472352,symmetric,real,optimization problem
nnz,16,2453,LAW/arabic-2005,639999458,22744080,22744080,639999458,639999458,unsymmetric,binary,directed graph
nnz,17,2804,MAWI/mawi_201512020330,480047894,226196185,226196185,480047894,480047894,symmetric,integer,undirected weighted graph
nnz,18,2808,GenBank/kmer_V1r,465410904,214005017,214005017,465410904,465410904,symmetric,binary,undirected graph
nnz,19,1904,Schenk/nlpkkt200,440225632,16240000,16240000,440225632,448225632,symmetric,real,optimization problem
nnz,20,2805,GenBank/kmer_A2a,360585172,170728175,170728175,360585172,360585172,symmetric,binary,undirected graph
nentries,1,2893,Sybrandt/AGATHA_2015,11588725964,183964077,183964077,11588725964,11588725964,symmetric,binary,undirected graph
nentries,2,2810,Sybrandt/MOLIERE_2016,6677301366,30239687,30239687,6669254694,6677301366,symmetric,real,undirected weighted graph
nentries,3,2856,GAP/GAP-urand,4294966740,134217728,134217728,4294966740,4294966740,symmetric,integer,random undirected weighted graph
nentries,4,2855,GAP/GAP-kron,4223264644,134217726,134217726,4223264644,4223264644,symmetric,integer,random undirected weighted graph
nentries,5,2780,SNAP/com-Friendster,3612134270,65608366,65608366,3612134270,3612134270,symmetric,binary,undirected graph with communities
nentries,6,2776,Mycielski/mycielskian20,2710370560,786431,786431,2710370560,2710370560,symmetric,binary,undirected graph
nentries,7,2454,LAW/sk-2005,1949412601,50636154,50636154,1949412601,1949412601,unsymmetric,binary,directed graph
nentries,8,2853,GAP/GAP-web,1930292948,50636151,50636151,1930292948,1930292948,unsymmetric,integer,directed weighted graph
nentries,9,2796,SNAP/twitter7,1468365182,41652230,41652230,1468365182,1468365182,unsymmetric,binary,directed graph
nentries,10,2852,GAP/GAP-twitter,1468364884,61578415,61578415,1468364884,1468364884,unsymmetric,integer,directed weighted graph
nentries,11,2452,LAW/it-2004,1150725436,41291594,41291594,1150725436,1150725436,unsymmetric,binary,directed graph
nentries,12,2449,LAW/webbase-2001,1019903190,118142155,118142155,1019903190,1019903190,unsymmetric,binary,directed graph
nentries,13,2455,LAW/uk-2005,936364282,39459925,39459925,936364282,936364282,unsymmetric,binary,directed graph
nentries,14,2775,Mycielski/mycielskian19,903194710,393215,393215,903194710,903194710,symmetric,binary,undirected graph
nentries,15,1905,Schenk/nlpkkt240,774472352,27993600,27993600,760648352,774472352,symmetric,real,optimization problem
nentries,16,2453,LAW/arabic-2005,639999458,22744080,22744080,639999458,639999458,unsymmetric,binary,directed graph
nentries,17,2804,MAWI/mawi_201512020330,480047894,226196185,226196185,480047894,480047894,symmetric,integer,undirected weighted graph
nentries,18,2808,GenBank/kmer_V1r,465410904,214005017,214005017,465410904,465410904,symmetric,binary,undirected graph
nentries,19,1904,Schenk/nlpkkt200,448225632,16240000,16240000,440225632,448225632,symmetric,real,optimization problem
nentries,20,2805,GenBank/kmer_A2a,360585172,170728175,170728175,360585172,360585172,symmetric,binary,undirected graph
